frequency,usertype,spend,eatin,clean,variety,quality,location,speed,healthy,price,friendly,hours,type,live,mealplan,gender,class,college,bclean,bvariety,bquality,blocation,bspeed,bhealthy,bprice,bfriendly,bhours,id
1 to 2 times,Light user,$10 or more,3,5,5,5,3,4,5,5,3,3,Sandwiches,On-Campus,Yes,Female,Freshman,EDUC,1,1,1,0,1,1,1,0,0,621
0 times,Non-user,Less than $5,1,5,5,5,3,3,5,4,4,5,Mexican,Off-Campus,No,Female,Junior,ARTSC,1,1,1,0,0,1,1,1,1,622
1 to 2 times,Light user,$5 to $9,4,4,4,4,4,4,4,4,4,4,Mexican,On-Campus,Yes,Female,Sophomore,EDUC,1,1,1,1,1,1,1,1,1,623
1 to 2 times,Light user,$5 to $9,6,4,3,4,4,3,1,5,4,3,Sandwiches,Off-Campus,No,Female,Junior,OTH,1,0,1,1,0,0,1,1,0,624
0 times,Non-user,$5 to $9,2,5,3,5,2,3,5,4,3,2,Other,Off-Campus,No,Male,Sophomore,OTH,1,0,1,0,0,1,1,0,0,625
1 to 2 times,Light user,$10 or more,7,3,3,3,5,4,1,5,3,5,Burgers,On-Campus,Yes,Female,Junior,ARTSC,0,0,0,1,1,0,1,0,1,626
1 to 2 times,Light user,$5 to $9,7,4,4,4,3,3,2,3,3,2,Chicken,Off-Campus,No,Female,Senior,BUSN,1,1,1,0,0,0,0,0,0,627
1 to 2 times,Light user,$5 to $9,7,4,1,5,2,3,2,4,5,4,Sandwiches,Off-Campus,No,Male,Junior,OTH,1,0,1,0,0,0,1,1,1,628
3 to 5 times,Heavy User,$5 to $9,7,4,4,4,5,4,3,3,3,4,Burgers,Off-Campus,No,Male,Senior,BUSN,1,1,1,1,1,0,0,0,1,629
1 to 2 times,Light user,$5 to $9,7,5,5,5,5,2,4,5,2,4,Other,Off-Campus,No,Female,Freshman,EDUC,1,1,1,1,0,1,1,0,1,630
3 to 5 times,Heavy User,$5 to $9,7,4,3,5,4,5,2,5,3,3,Burgers,Off-Campus,No,Male,Senior,BUSN,1,0,1,1,1,0,1,0,0,631
1 to 2 times,Light user,$5 to $9,4,2,3,4,3,4,3,4,1,4,Sandwiches,On-Campus,Yes,Female,Freshman,BUSN,0,0,1,0,1,0,1,0,1,632
1 to 2 times,Light user,$10 or more,7,5,4,4,3,4,5,5,4,2,Mexican,Off-Campus,No,Female,Junior,OTH,1,1,1,0,1,1,1,1,0,633
1 to 2 times,Light user,$5 to $9,2,5,4,5,4,3,3,4,3,4,Burgers,On-Campus,Yes,Female,Freshman,BUSN,1,1,1,1,0,0,1,0,1,634
3 to 5 times,Heavy User,$5 to $9,1,2,2,4,5,2,1,4,3,4,Chicken,Off-Campus,No,Male,Senior,BUSN,0,0,1,1,0,0,1,0,1,635
1 to 2 times,Light user,$5 to $9,4,5,3,5,4,4,3,2,3,4,Chicken,Off-Campus,No,Male,Junior,EDUC,1,0,1,1,1,0,0,0,1,636
3 to 5 times,Heavy User,$5 to $9,6,3,4,3,4,4,4,5,2,4,Chicken,Off-Campus,No,Male,Senior,BUSN,0,1,0,1,1,1,1,0,1,637
1 to 2 times,Light user,$5 to $9,6,4,4,4,3,3,4,4,3,4,Mexican,On-Campus,Yes,Female,Freshman,EDUC,1,1,1,0,0,1,1,0,1,638
1 to 2 times,Light user,Less than $5,1,5,3,4,4,3,1,4,4,2,Mexican,On-Campus,Yes,Female,Sophomore,BUSN,1,0,1,1,0,0,1,1,0,639
3 to 5 times,Heavy User,$5 to $9,7,5,4,5,5,2,3,5,3,5,Chicken,Commuter,No,Female,Freshman,ARTSC,1,1,1,1,0,0,1,0,1,640
1 to 2 times,Light user,$5 to $9,6,4,3,4,4,4,3,5,3,2,Mexican,Off-Campus,No,Male,Senior,BUSN,1,0,1,1,1,0,1,0,0,641
1 to 2 times,Light user,$10 or more,2,4,4,4,3,2,4,3,3,3,Burgers,Off-Campus,No,Female,Junior,EDUC,1,1,1,0,0,1,0,0,0,642
3 to 5 times,Heavy User,Less than $5,5,1,2,2,4,5,1,5,1,2,Burgers,On-Campus,Yes,Male,Sophomore,BUSN,0,0,0,1,1,0,1,0,0,643
3 to 5 times,Heavy User,$5 to $9,5,3,2,3,3,3,1,4,1,4,Chicken,On-Campus,Yes,Male,Sophomore,EDUC,0,0,0,0,0,0,1,0,1,644
1 to 2 times,Light user,$10 or more,1,5,5,5,5,5,3,5,5,5,Mexican,Off-Campus,No,Male,Senior,EDUC,1,1,1,1,1,0,1,1,1,645
0 times,Non-user,$5 to $9,1,5,1,5,1,1,5,1,3,1,Other,Off-Campus,No,Male,Junior,OTH,1,0,1,0,0,1,0,0,0,646
1 to 2 times,Light user,$5 to $9,2,3,4,5,5,4,2,4,3,4,Burgers,On-Campus,Yes,Male,Freshman,BUSN,0,1,1,1,1,0,1,0,1,647
0 times,Non-user,$5 to $9,6,5,4,5,3,4,3,3,4,3,Burgers,Commuter,No,Female,Junior,ARTSC,1,1,1,0,1,0,0,1,0,648
1 to 2 times,Light user,$10 or more,2,2,3,4,2,2,2,4,5,1,Burgers,Commuter,No,Female,Freshman,EDUC,0,0,1,0,0,0,1,1,0,649
3 to 5 times,Heavy User,$10 or more,4,4,3,5,2,5,3,1,5,2,Chicken,Commuter,No,Female,Junior,OTH,1,0,1,0,1,0,0,1,0,650
1 to 2 times,Light user,$10 or more,4,5,5,5,5,5,3,5,3,5,Mexican,Off-Campus,No,Female,Junior,BUSN,1,1,1,1,1,0,1,0,1,651
1 to 2 times,Light user,$5 to $9,4,4,4,4,5,4,3,3,3,4,Other,On-Campus,Yes,Male,Freshman,OTH,1,1,1,1,1,0,0,0,1,652
1 to 2 times,Light user,$10 or more,4,5,4,5,4,4,3,4,4,4,Chicken,Commuter,No,Male,Freshman,ARTSC,1,1,1,1,1,0,1,1,1,653
3 to 5 times,Heavy User,$5 to $9,5,3,3,4,4,4,1,4,2,3,Burgers,Off-Campus,No,Male,Senior,ARTSC,0,0,1,1,1,0,1,0,0,654
1 to 2 times,Light user,$5 to $9,7,3,3,3,5,3,2,5,2,4,Mexican,On-Campus,Yes,Female,Sophomore,EDUC,0,0,0,1,0,0,1,0,1,655
3 to 5 times,Heavy User,$5 to $9,4,5,3,5,3,3,3,3,3,3,Other,Off-Campus,No,Male,Sophomore,BUSN,1,0,1,0,0,0,0,0,0,656
